sport,game_id,game_start,away_team,home_team,market,player_name,player_team,player_position,timestamp,bovada_line,bovada_over_price,bovada_under_price,draftkings_line,draftkings_over_price,draftkings_under_price,fanduel_line,fanduel_over_price,fanduel_under_price,betmgm_line,betmgm_over_price,betmgm_under_price,betonlineag_line,betonlineag_over_price,betonlineag_under_price,betrivers_line,betrivers_over_price,betrivers_under_price,vig_from_best_odds,fair_odds_over,fair_odds_under,best_odds_over,best_odds_under,best_odds_over_sportsbook,best_odds_under_sportsbook,best_odds_over_line,best_odds_under_line,fair_line,fair_line_method
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points,De'Andre Hunter,,,2025-03-09 18:16:29.142457,12.5,-105.0,-125.0,12.5,-105.0,-125.0,12.5,102.0,-130.0,12.5,-110.0,-120.0,12.5,-105.0,-123.0,11.5,-103.0,-130.0,4.05,110.18,-110.18,-103.0,-120.0,betrivers,betmgm,11.5,12.5,12.5,most_common
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_alternate,De'Andre Hunter,,,2025-03-09 18:16:29.142570,,,,14.5,475.0,,14.5,265.0,-500.0,9.5,500.0,,16.5,2532.0,,,,,0.72,479.17,-479.17,500.0,-500.0,betmgm,fanduel,9.5,14.5,14.5,most_common
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_assists,De'Andre Hunter,,,2025-03-09 18:16:29.145605,,,,13.5,-120.0,-110.0,,,,13.5,-125.0,-105.0,,,,,,,5.76,-106.49,106.49,-120.0,-105.0,draftkings,betmgm,13.5,13.5,13.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_assists_alternate,De'Andre Hunter,,,2025-03-09 18:16:29.145710,,,,14.5,-357.0,,,,,,,,,,,,,,,,,-357.0,,draftkings,,14.5,,14.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_rebounds,De'Andre Hunter,,,2025-03-09 18:16:29.143274,16.5,105.0,-135.0,16.5,-110.0,-120.0,16.5,-104.0,-122.0,16.5,-120.0,-110.0,,,,16.5,-108.0,,1.16,107.38,-107.38,105.0,-110.0,bovada,betmgm,16.5,16.5,16.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_rebounds_alternate,De'Andre Hunter,,,2025-03-09 18:16:29.143367,,,,29.5,475.0,,9.5,270.0,-667.0,,,,,,,,,,,,,270.0,-667.0,fanduel,fanduel,9.5,9.5,19.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_rebounds_assists,De'Andre Hunter,,,2025-03-09 18:16:29.146108,18.5,-105.0,-125.0,17.5,-125.0,-105.0,,,,18.5,-105.0,-125.0,18.5,-106.0,-122.0,,,,6.17,107.29,-107.29,-125.0,-122.0,draftkings,betonlineag,17.5,18.5,18.5,most_common
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_points_rebounds_assists_alternate,De'Andre Hunter,,,2025-03-09 18:16:29.146220,,,,17.5,-1250.0,,,,,,,,24.5,-196.0,,,,,,,,-1250.0,,draftkings,,17.5,,21.0,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_rebounds,De'Andre Hunter,,,2025-03-09 18:16:29.144090,,,,3.5,-161.0,124.0,3.5,-161.0,124.0,4.5,105.0,-141.0,4.5,120.0,-156.0,3.5,-159.0,120.0,6.03,-137.51,137.51,-159.0,-141.0,betrivers,betmgm,3.5,4.5,3.5,most_common
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_rebounds_alternate,De'Andre Hunter,,,2025-03-09 18:16:29.144143,,,,2.5,-169.0,,3.5,2000.0,-833.0,6.5,110.0,,4.5,4380.0,,,,,,,,-169.0,-833.0,draftkings,fanduel,2.5,3.5,4.0,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_rebounds_assists,De'Andre Hunter,,,2025-03-09 18:16:29.149712,,,,,,,,,,5.5,-135.0,100.0,,,,,,,7.45,-114.89,114.89,-135.0,100.0,betmgm,betmgm,5.5,5.5,5.5,median
basketball_nba,67746197d1b0b87daee111a4c83d1d9a,2025-03-10T00:10:00Z,Cleveland Cavaliers,Milwaukee Bucks,player_steals_alternate,De'Andre Hunter,,,2025-03-09 18:16:29.148776,,,,,,,,,,,,,0.5,2400.0,,,,,,,,2400.0,,betonlineag,,0.5,,0.5,median
